Step,Action,Reward,RevealedBoard
1,"(1, 4)",25,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(0, 0)",20,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
3,"(3, 3)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
4,"(4, 5)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, False, False], [False, False, False, False, False, True], [False, False, False, False, False, False]]"
5,"(5, 0)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, False, False], [False, False, False, False, False, True], [True, False, False, False, False, False]]"
6,"(3, 2)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, True, False, False], [False, False, False, False, False, True], [True, False, False, False, False, False]]"
7,"(4, 3)",15,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, False], [False, False, True, True, True, True], [True, False, True, True, True, False]]"
8,"(5, 1)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, False], [False, False, True, True, True, True], [True, True, True, True, True, False]]"
9,"(1, 2)",1,"[[True, True, False, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, False], [False, False, True, True, True, True], [True, True, True, True, True, False]]"
10,"(4, 0)",51,"[[True, True, False, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, False]]"

Board
0,1,-1,1,0,0
0,2,2,2,0,0
0,1,-1,1,1,1
1,2,2,1,1,-1
1,-1,1,0,2,2
1,1,1,0,1,-1
