Step,Action,Reward,RevealedBoard
1,"(4, 5)",59,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, True, True, True, False], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
2,"(1, 1)",1,"[[False, False, False, False, False, False], [False, True, False, False, False, False], [False, False, True, True, True, False], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
3,"(0, 3)",1,"[[False, False, False, True, False, False], [False, True, False, False, False, False], [False, False, True, True, True, False], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
4,"(1, 0)",1,"[[False, False, False, True, False, False], [True, True, False, False, False, False], [False, False, True, True, True, False], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
5,"(3, 0)",1,"[[False, False, False, True, False, False], [True, True, False, False, False, False], [False, False, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
6,"(2, 1)",1,"[[False, False, False, True, False, False], [True, True, False, False, False, False], [False, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
7,"(1, 5)",1,"[[False, False, False, True, False, False], [True, True, False, False, False, True], [False, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
8,"(0, 2)",1,"[[False, False, True, True, False, False], [True, True, False, False, False, True], [False, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
9,"(0, 4)",1,"[[False, False, True, True, True, False], [True, True, False, False, False, True], [False, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
10,"(1, 4)",1,"[[False, False, True, True, True, False], [True, True, False, False, True, True], [False, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
11,"(2, 0)",1,"[[False, False, True, True, True, False], [True, True, False, False, True, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
12,"(0, 5)",5,"[[False, False, True, True, True, True], [True, True, False, False, True, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
13,"(0, 0)",51,"[[True, False, True, True, True, True], [True, True, False, False, True, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
1,-1,3,2,1,0
1,2,-1,-1,2,1
1,2,3,2,2,-1
1,-1,1,0,1,1
1,1,1,0,0,0
0,0,0,0,0,0
