Step,Action,Reward,RevealedBoard
1,"(4, 3)",36,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
2,"(1, 2)",1,"[[False, False, False, False, False, False], [False, False, True, False, False, False], [False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
3,"(5, 0)",1,"[[False, False, False, False, False, False], [False, False, True, False, False, False], [False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [True, False, True, True, True, True]]"
4,"(3, 0)",1,"[[False, False, False, False, False, False], [False, False, True, False, False, False], [False, False, False, False, False, False], [True, False, True, True, True, True], [False, False, True, True, True, True], [True, False, True, True, True, True]]"
5,"(1, 5)",1,"[[False, False, False, False, False, False], [False, False, True, False, False, True], [False, False, False, False, False, False], [True, False, True, True, True, True], [False, False, True, True, True, True], [True, False, True, True, True, True]]"
6,"(1, 0)",1,"[[False, False, False, False, False, False], [True, False, True, False, False, True], [False, False, False, False, False, False], [True, False, True, True, True, True], [False, False, True, True, True, True], [True, False, True, True, True, True]]"
7,"(0, 5)",13,"[[False, False, False, True, True, True], [True, False, True, True, True, True], [False, False, False, False, False, False], [True, False, True, True, True, True], [False, False, True, True, True, True], [True, False, True, True, True, True]]"
8,"(3, 1)",1,"[[False, False, False, True, True, True], [True, False, True, True, True, True], [False, False, False, False, False, False], [True, True, True, True, True, True], [False, False, True, True, True, True], [True, False, True, True, True, True]]"
9,"(0, 0)",7,"[[True, True, False, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [True, True, True, True, True, True], [False, False, True, True, True, True], [True, False, True, True, True, True]]"
10,"(4, 0)",1,"[[True, True, False, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [True, True, True, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True]]"
11,"(2, 3)",1,"[[True, True, False, True, True, True], [True, True, True, True, True, True], [False, False, False, True, False, False], [True, True, True, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True]]"
12,"(2, 5)",1,"[[True, True, False, True, True, True], [True, True, True, True, True, True], [False, False, False, True, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True]]"
13,"(2, 2)",1,"[[True, True, False, True, True, True], [True, True, True, True, True, True], [False, False, True, True, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True]]"
14,"(2, 0)",51,"[[True, True, False, True, True, True], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True]]"

Board
0,1,-1,1,0,0
1,2,2,2,1,1
1,-1,1,1,-1,1
2,2,2,1,1,1
2,-1,2,0,0,0
2,-1,2,0,0,0
