Step,Action,Reward,RevealedBoard
1,"(1, 1)",58,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, False, False], [True, True, True, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(3, 3)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, False, False], [True, True, True, True, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
3,"(4, 4)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, False, False], [True, True, True, True, False, False], [False, False, False, False, True, False], [False, False, False, False, False, False]]"
4,"(4, 2)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, False, False], [True, True, True, True, False, False], [False, False, True, False, True, False], [False, False, False, False, False, False]]"
5,"(2, 4)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, True, False], [True, True, True, True, False, False], [False, False, True, False, True, False], [False, False, False, False, False, False]]"
6,"(5, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, True, False], [True, True, True, True, False, False], [False, False, True, False, True, False], [True, False, False, False, False, False]]"
7,"(5, 2)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, True, False], [True, True, True, True, False, False], [False, False, True, False, True, False], [True, False, True, False, False, False]]"
8,"(4, 3)",12,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, True, False], [True, True, True, True, True, False], [False, False, True, True, True, False], [True, False, True, True, True, False]]"
9,"(4, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, True, False], [True, True, True, True, True, False], [True, False, True, True, True, False], [True, False, True, True, True, False]]"
10,"(5, 1)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, True, False], [True, True, True, True, True, False], [True, False, True, True, True, False], [True, True, True, True, True, False]]"
11,"(3, 5)",51,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, True, False], [True, True, True, True, True, True], [True, False, True, True, True, False], [True, True, True, True, True, False]]"

Board
0,0,0,0,0,0
0,0,1,1,2,1
0,0,1,-1,2,-1
1,1,2,1,3,2
1,-1,1,0,2,-1
1,1,1,0,2,-1
