Step,Action,Reward,RevealedBoard
1,"(1, 0)",52,"[[True, True, False, False, False, False], [True, True, False, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False]]"
2,"(0, 3)",1,"[[True, True, False, True, False, False], [True, True, False, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False]]"
3,"(3, 3)",1,"[[True, True, False, True, False, False], [True, True, False, False, False, False], [True, True, True, False, False, False], [True, True, True, True, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False]]"
4,"(2, 5)",1,"[[True, True, False, True, False, False], [True, True, False, False, False, False], [True, True, True, False, False, True], [True, True, True, True, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False]]"
5,"(2, 3)",1,"[[True, True, False, True, False, False], [True, True, False, False, False, False], [True, True, True, True, False, True], [True, True, True, True, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False]]"
6,"(5, 4)",1,"[[True, True, False, True, False, False], [True, True, False, False, False, False], [True, True, True, True, False, True], [True, True, True, True, False, False], [True, True, True, False, False, False], [True, True, True, False, True, False]]"
7,"(3, 5)",1,"[[True, True, False, True, False, False], [True, True, False, False, False, False], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, False, False, False], [True, True, True, False, True, False]]"
8,"(0, 5)",1,"[[True, True, False, True, False, True], [True, True, False, False, False, False], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, False, False, False], [True, True, True, False, True, False]]"
9,"(0, 4)",1,"[[True, True, False, True, True, True], [True, True, False, False, False, False], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, False, False, False], [True, True, True, False, True, False]]"
10,"(1, 3)",1,"[[True, True, False, True, True, True], [True, True, False, True, False, False], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, False, False, False], [True, True, True, False, True, False]]"
11,"(1, 4)",-10,"[[True, True, False, True, True, True], [True, True, False, True, True, False], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, False, False, False], [True, True, True, False, True, False]]"

Board
0,1,1,2,1,1
0,1,-1,2,-1,1
0,1,1,2,1,1
0,0,1,2,2,1
0,0,2,-1,-1,1
0,0,2,-1,3,1
