Step,Action,Reward,RevealedBoard
1,"(1, 1)",52,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(4, 2)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, True, False, False, False], [False, False, False, False, False, False]]"
3,"(4, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, True, False, False, True], [False, False, False, False, False, False]]"
4,"(3, 4)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [False, False, True, False, False, True], [False, False, False, False, False, False]]"
5,"(5, 0)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [False, False, True, False, False, True], [True, False, False, False, False, False]]"
6,"(4, 0)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [True, False, True, False, False, True], [True, False, False, False, False, False]]"
7,"(4, 3)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [True, False, True, True, False, True], [True, False, False, False, False, False]]"
8,"(3, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, False, False, False, False, False]]"
9,"(5, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, False, False, False, False, True]]"
10,"(2, 4)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, False, False, False, False, True]]"
11,"(5, 4)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, False, False, False, True, True]]"
12,"(2, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, False, False, False, True, True]]"
13,"(1, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, False, False, False, True, True]]"
14,"(0, 4)",1,"[[True, True, True, True, True, False], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, False, False, False, True, True]]"
15,"(0, 5)",1,"[[True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, False, False, False, True, True]]"
16,"(5, 1)",51,"[[True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, False, True], [True, True, False, False, True, True]]"

Board
0,0,0,1,1,1
0,0,0,1,-1,1
0,0,0,1,1,1
1,1,1,1,1,1
1,-1,3,3,-1,1
1,2,-1,-1,2,1
