Step,Action,Reward,RevealedBoard
1,"(2, 3)",50,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, True, True, True, False], [False, False, True, True, True, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(5, 5)",13,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, True, True, True, False], [False, False, True, True, True, True], [False, False, False, False, True, True], [False, False, False, False, True, True]]"
3,"(5, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, True, True, True, False], [False, False, True, True, True, True], [False, False, False, False, True, True], [True, False, False, False, True, True]]"
4,"(3, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, True, True, True, False], [True, False, True, True, True, True], [False, False, False, False, True, True], [True, False, False, False, True, True]]"
5,"(2, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, False], [True, False, True, True, True, True], [False, False, False, False, True, True], [True, False, False, False, True, True]]"
6,"(5, 3)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, False], [True, False, True, True, True, True], [False, False, False, False, True, True], [True, False, False, True, True, True]]"
7,"(4, 1)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, False], [True, False, True, True, True, True], [False, True, False, False, True, True], [True, False, False, True, True, True]]"
8,"(4, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, False], [True, False, True, True, True, True], [True, True, False, False, True, True], [True, False, False, True, True, True]]"
9,"(5, 2)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, False], [True, False, True, True, True, True], [True, True, False, False, True, True], [True, False, True, True, True, True]]"
10,"(3, 1)",-10,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, False], [True, True, True, True, True, True], [True, True, False, False, True, True], [True, False, True, True, True, True]]"

Board
0,0,0,0,0,0
1,1,1,0,1,1
2,-1,2,0,1,-1
2,-1,3,1,2,1
2,2,3,-1,1,0
1,-1,2,1,1,0
