Step,Action,Reward,RevealedBoard
1,"(5, 5)",58,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, True, True, True], [False, False, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
2,"(1, 2)",1,"[[False, False, False, False, False, False], [False, False, True, False, False, False], [False, False, False, True, True, True], [False, False, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
3,"(3, 1)",1,"[[False, False, False, False, False, False], [False, False, True, False, False, False], [False, False, False, True, True, True], [False, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
4,"(0, 3)",1,"[[False, False, False, True, False, False], [False, False, True, False, False, False], [False, False, False, True, True, True], [False, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
5,"(2, 2)",1,"[[False, False, False, True, False, False], [False, False, True, False, False, False], [False, False, True, True, True, True], [False, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
6,"(2, 0)",1,"[[False, False, False, True, False, False], [False, False, True, False, False, False], [True, False, True, True, True, True], [False, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
7,"(0, 4)",1,"[[False, False, False, True, True, False], [False, False, True, False, False, False], [True, False, True, True, True, True], [False, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
8,"(1, 0)",13,"[[True, True, False, True, True, False], [True, True, True, False, False, False], [True, True, True, True, True, True], [False, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
9,"(0, 5)",1,"[[True, True, False, True, True, True], [True, True, True, False, False, False], [True, True, True, True, True, True], [False, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
10,"(1, 4)",51,"[[True, True, False, True, True, True], [True, True, True, False, True, False], [True, True, True, True, True, True], [False, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
0,1,-1,2,2,1
0,1,2,-1,2,-1
1,2,2,2,2,1
-1,2,-1,1,0,0
1,2,1,1,0,0
0,0,0,0,0,0
