Step,Action,Reward,RevealedBoard
1,"(3, 3)",20,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, True, True, True, True, False], [False, True, True, True, True, False], [False, True, True, True, True, False], [False, False, False, False, False, False]]"
2,"(0, 5)",18,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, False], [False, False, False, False, False, False]]"
3,"(5, 0)",7,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, False, False, False]]"
4,"(0, 1)",1,"[[False, True, False, False, True, True], [False, False, False, False, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, False, False, False]]"
5,"(0, 0)",1,"[[True, True, False, False, True, True], [False, False, False, False, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, False, False, False]]"
6,"(0, 3)",1,"[[True, True, False, True, True, True], [False, False, False, False, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, False, False, False]]"
7,"(2, 0)",1,"[[True, True, False, True, True, True], [False, False, False, False, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, False, False, False]]"
8,"(1, 2)",1,"[[True, True, False, True, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, False, False, False]]"
9,"(5, 3)",1,"[[True, True, False, True, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, True, False, False]]"
10,"(5, 5)",1,"[[True, True, False, True, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, True, False, True]]"
11,"(1, 0)",1,"[[True, True, False, True, True, True], [True, False, True, False, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, True, False, True]]"
12,"(5, 4)",1,"[[True, True, False, True, True, True], [True, False, True, False, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, True, True, True]]"
13,"(0, 2)",51,"[[True, True, True, True, True, True], [True, False, True, False, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, False], [True, True, False, True, True, True]]"

Board
1,1,2,1,1,0
1,-1,2,-1,1,0
2,2,2,1,1,0
-1,1,0,0,1,1
1,2,1,1,1,-1
0,1,-1,1,1,1
